ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Oven Type,Size,Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Cooking Energy Efficiency (%),Electric Oven Convection Mode Cooking Energy Efficiency (%),Door Type,Additional Door Type(s),Method of Steam Generation,Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Electric Oven Steam Mode Idle Energy Rate (kW),Convection Mode Production Capacity (lbs/hr),Convection Mode Average Water Consumption Rate (gallons/hr),Gas Oven Steam Mode Cooking Energy Efficiency (%),Electric Oven Steam Mode Cooking Energy Efficiency (%),Steam Mode Production Capacity (lbs/hr),Steam Mode Average Water Consumption Rate (gallons/hr),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Date Available on Market,Date Certified,Markets,CB Model Identifier
2232976,"Alto-Shaam, Inc.",Alto-Shaam,CTP7-20E,CTP7-20E,,Combination,Full-size,Electric,19.2,,1.51,,,80,Glass,N/A,Boiler-less,14,,7,,,,1.18,139.9,0.8,,59,171.3,1.5,,,,01/01/2014,02/11/2015,"United States, Canada",ES_1017906_CTP7-20E_02112015164734_3254873
2287466,"Alto-Shaam, Inc.",Alto-Shaam,CTP20-20G,CTP20-20G,,Combination,Full-size,Gas,,266000,,10430,63,,Glass,N/A,Boiler-less,40,,,0.84,9723,1.4,,402.2,0.4,50,,324.6,9.1,,,,02/03/2014,12/30/2016,"United States, Canada",ES_1017906_CTP20-20G_12302016142007_7607471
2235037,"Alto-Shaam, Inc.",Alto-Shaam,CTP10-20G,CTP10-20G,,Combination,Full-size,Gas,,133000,,6964,61,,Glass,N/A,Boiler-less,20,,10,0.44,3298,0.7,,225.2,7.7,51,,261.3,6.6,,,,01/01/2014,03/23/2015,"United States, Canada",ES_1017906_CTP10-20G_03232015204056_3256220
2287467,"Alto-Shaam, Inc.",Alto-Shaam,CTP7-20G,CTP7-20G,,Combination,Full-size,Gas,,102000,,5950,59,,Glass,N/A,Boiler-less,14,,14,0.61,5456,0.29,,141.7,10.6,47,,249.8,12.2,,,,02/03/2014,12/30/2016,"United States, Canada",ES_1017906_CTP7-20G_12302016141928_7568140
2239756,"Alto-Shaam, Inc.",Alto-Shaam,CTC7-20G,CTC7-20G,,Combination,Full-size,Gas,,98000,,5517,60,,Glass,N/A,Boiler-less,16,,8,0.59,1654,0.64,,173.2,1.27,52,,161.1,0.93,,,,01/01/2014,05/19/2015,"United States, Canada",ES_1017906_CTC7-20G_05192015201136_6296016
2330206,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82G3T,FX82G3T,,Combination,Full-size,Gas,,92500,,6550,60,,Glass,N/A,Boiler-less,16,,16,0.44,7334,0.41,,144.5,2,54,,191.4,3.7,,,,11/20/2018,11/26/2018,United States,ES_1142603_FX82G3T_11262018192954_0594664
2330387,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX202G3,FX202G3,,Combination,Full-size,Gas,,190000,,11087,63,,Glass,N/A,Boiler-less,40,,20,0.37,13236,0.9,,369.3,2.5,59,,500.9,5.8,,,,11/20/2018,11/29/2018,United States,ES_1142603_FX202G3_11292018163645_9405064
2332636,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX202G3R,FX202G3R,,Combination,Full-size,Gas,,190000,,11087,63,,Glass,N/A,Boiler-less,40,,20,0.37,13236,0.9,,369.3,2.5,59,,500.9,5.8,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX202G3R_01172019143842_5922149
2332637,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82E3,FX82E3,",,Available in 208V, 240V and 480V; FX82E3CT,FX82E3CT,Available in 208V, 240V and 480V; FX82E3R,FX82E3R,Available in 208V, 240V and 480V; FX82E3T,FX82E3T,Available in 208V, 240V and 480V; FX82E3TR,FX82E3TR,Available in 208V, 240V and 480V",Combination,Full-size,Electric,19.7,,1.69,,,80,Glass,N/A,Boiler-less,16,,16,,,,2.57,148.8,1.2,,66,186.1,2.8,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX82E3_01172019145336_6816822
2330205,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82E3T,FX82E3T,",,Available in 208V, 240V and 480V; FX82E3,FX82E3,Available in 208V, 240V and 480V; FX82E3CT,FX82E3CT,Available in 208V, 240V and 480V; FX82E3R,FX82E3R,Available in 208V, 240V and 480V; FX82E3TR,FX82E3TR,Available in 208V, 240V and 480V",Combination,Full-size,Electric,19.7,,1.69,,,80,Glass,N/A,Boiler-less,16,,16,,,,2.57,148.8,1.2,,66,186.1,2.8,,,,11/20/2018,11/26/2018,United States,ES_1142603_FX82E3T_11262018183236_7156636
2332634,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX82G3,FX82G3,"FX82G3R,FX82G3CT,; FX82G3R,FX82G3R,; FX82G3R,FX82G3TR,",Combination,Full-size,Gas,,92500,,6550,60,,Glass,N/A,Boiler-less,16,,16,0.44,7334,0.41,,144.5,2,54,,191.4,3.7,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX82G3_01172019132102_1262501
2332635,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX122G3,FX122G3,"FX122G3C,FX122G3C,; FX122G3CT,FX122G3CT,; FX122G3TR,FX122G3TR,",Combination,Full-size,Gas,,120000,,7693,63,,Glass,N/A,Boiler-less,24,,12,0.55,8696,0.52,,215.9,1.8,55,,222.9,2.6,,,,01/01/2019,01/17/2019,United States,ES_1142603_FX122G3_01172019134617_2777516
2330447,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,FX122G3T,FX122G3T,,Combination,Full-size,Gas,,120000,,7693,63,,Glass,N/A,Boiler-less,24,,12,0.55,8696,0.52,,215.9,1.8,55,,222.9,2.6,,,,11/20/2018,11/30/2018,United States,ES_1142603_FX122G3T_11302018171903_8343008
2257187,Baxter Manufacturing,Baxter Mfg,OV500G2-EE,OV500G2-EE,,Rack,Full-size,Gas,,275000,,26016,,,Glass/Solid,N/A,,,,,1.01,,,,,,,,,,55,277,Yes,01/01/2014,01/21/2016,"United States, Canada",ES_1017903_OV500G2-EE_01212016210938_0578800
2257186,Baxter Manufacturing,Baxter Mfg,OV500G1-EE,OV500G1-EE,,Rack,Full-size,Gas,,175000,,21364,,,Glass/Solid,N/A,,,,,0.54,,,,,,,,,,48,142,Yes,01/01/2014,01/21/2016,"United States, Canada",ES_1135550_OV500G1-EE_01212016205953_9993249
2304971,Belshaw Adamatic Bakery Group,Belshaw Adamatic,OVEN-2020,OVEN-2020,,Rack,Full-size,Gas,,275000,,18357,,,Glass/Solid,N/A,Boiler-less,,,,1.06,,,,,,,,,,66,290.2,Yes,10/04/2017,10/12/2017,"United States, Canada",ES_1130399_OVEN-2020_10122017221556_6556065
2257583,Belshaw Adamatic Bakery Group,Belshaw Adamatic,BX4 eco-touch,BX4 eco-touch,,Convection,Full-size,Electric,7.54,,0.96,,,82,Glass/Solid,N/A,,,,4,,,,,73.8,,,,,,,,,01/12/2015,02/01/2016,United States,ES_1130399_BX4 eco-touch_01182016223627_2984430
2223858,Belshaw Adamatic Bakery Group,Belshaw Adamatic,BX3 Eco Touch,FG189T-UZ84,",FG189T-UZ86,; ,FG189T-UZ90,; BX3 Eco Touch,FG189T-UZ82,Left-hinged Unit; BX3 Eco Touch,FG189T-UZ84,Right-hinged Unit",Convection,Full-size,Electric,7.5,,1.02,,,76,Glass,N/A,,,,3,,,,,59.1,,,,,,,,,01/21/2014,10/28/2014,United States,ES_1130399_FG189T-UZ84_10282014154038_6232110
2218711,Blodgett Oven Company,Blodgett,HV-100E,HV-100E,",HVH-100E,",Convection,Full-size,Electric,15,,1.42,,,76,Glass,N/A,,,,5,,,,,108.09,,,,,,,,,01/01/2013,08/27/2014,"United States, Canada",ES_1100150_HV-100E_08272014120611_1065637
2218712,Blodgett Oven Company,Blodgett,HV-100G,HV-100G,",HVH-100G,",Convection,Full-size,Gas,,60000,,6600,48,,Glass,N/A,,,,5,0.13,,,,101.76,,,,,,,,,01/01/2013,08/06/2014,"United States, Canada",ES_1100150_HV-100G_08102014213703_5752679
2200225,Blodgett Oven Company,Blodgett,Zephaire 200 E,Zephaire 200 E,"MARK V 200 K12,,; MARK V 200,,",Convection,Full-size,Electric,11,,0.17,,,75,Glass,Solid,,,,5,,,,,97.43,,,,,,,,,11/25/2013,01/02/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1100150_Zephaire 200 E_01032014023142_5411188
2202238,Blodgett Oven Company,Blodgett,Zephaire-200-G-ES,Zephaire-200-G-ES,",DFG-200-ES,; ,DFG-200-K12-ES,",Convection,Full-size,Gas,,50000,,9265,54,,Glass,Solid,,,,5,0.17,,,,104.59,,,,,,,,,11/25/2013,01/02/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1100150_Zephaire-200-G-ES_01032014035752_3060113
2200227,Blodgett Oven Company,Blodgett,CTB-6.8,CTB-6.8,",CTB/R-6.8,",Convection,Half-size,Electric,6.8,,0.93,,,74,Glass,Solid,,,5,,,,,,54.61,,,,,,,,,11/25/2013,01/15/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1100150_CTB-6.8_01032014034240_9771844
2200226,Blodgett Oven Company,Blodgett,Zephaire 100 E,Zephaire 100 E,"BDO 100 E,,; MARK V 100 K12,,; MARK V 100,,; SHO 100 E,,",Convection,Full-size,Electric,11,,1.51,,,78,Glass,Solid,,,,5,,,,,104.91,,,,,,,,,11/25/2013,01/02/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1100150_Zephaire 100 E_01032014025202_199853
2200229,Blodgett Oven Company,Blodgett,CTB-5.6,CTB-5.6,",CTB/R-5.6,",Convection,Half-size,Electric,5.6,,0.95,,,73,Glass,Solid,,,5,,,,,,50.07,,,,,,,,,11/25/2013,01/15/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1100150_CTB-5.6_01142014101226_2313043
2200228,Blodgett Oven Company,Blodgett,CTB-8,CTB-8,",CTB/R-8,",Convection,Half-size,Electric,8,,0.94,,,72,Glass,Solid,,,5,,,,,,52.98,,,,,,,,,11/25/2013,01/15/2014,"United States, Switzerland, Taiwan, Japan, Canada",ES_1100150_CTB-8_01142014101046_5592462
2202237,Blodgett Oven Company,Blodgett,DFG-100-ES,DFG-100-ES,",BDO-100-G-ES,; ,DFG-100-K12-ES,; ,Zephaire-100-G-ES,",Convection,Full-size,Gas,,45000,,7620,54,,Glass,Solid,,,,5,0.17,,,,97.71,,,,,,,,,11/25/2013,01/16/2014,"United States, Canada",ES_1100150_DFG-100-G-ES_01032014032513_9549829
2265952,Convotherm (A division of Welbilt),Convotherm,C4eT 10.20 EB,C4eT 10.20 EB,,Combination,Full-size,Electric,22.1,,1.74,,,81,Glass,N/A,Boiler,20,,10,,,,2.52,215.5,0,,65,347.6,10.6,,,,01/01/2014,05/02/2016,"United States, Canada",ES_1123347_C4eT 10.20 EB_05022016202511_0711414
2253462,Convotherm (A division of Welbilt),Convotherm,C4eD 6.20  GS,C4eD 6.20  GS,,Combination,Full-size,Gas,,68200,,5101,62,,Glass,N/A,Boiler-less,14,,7,0.42,5003,0.39,,140.9,0,58,,204.1,2.5,,,,01/01/2014,11/24/2015,"United States, Canada",ES_1123347_C4eD 6.20  GS_11242015224216_4936234
2226578,Convotherm (A division of Welbilt),Convotherm,C4eD 10.10 ES,C4eD 10.10 ES,,Combination,Half-size,Electric,15.9,,1.19,,,78,Glass,N/A,Boiler-less,10,11,,,,,0.71,104.4,0,,72,101.2,0.5,,,,09/03/2013,12/05/2014,"United States, Canada",ES_1123347_C4eD 10.10 ES_12052014205919_3159474
2265954,Convotherm (A division of Welbilt),Convotherm,C4eD 10.20 EB,C4eD 10.20 EB,,Combination,Full-size,Electric,22.1,,1.74,,,81,Glass,N/A,Boiler,20,,10,,,,2.52,215.5,0,,65,347.6,10.6,,,,01/01/2014,05/02/2016,"United States, Canada",ES_1123347_C4eD 10.20 EB_05022016202644_0804621
2253464,Convotherm (A division of Welbilt),Convotherm,C4eD 10.20 ES,C4eD 10.20 ES,,Combination,Full-size,Electric,27.4,,1.68,,,83,Glass,N/A,Boiler-less,20,,10,,,,1.56,232,0.1,,76,336.5,2.7,,,,01/01/2014,11/24/2015,"United States, Canada",ES_1123347_C4eD 10.20 ES_11242015230242_6162916
2279893,Convotherm (A division of Welbilt),Convotherm,C4eD 10.20 GS,C4eD 10.20 GS,,Combination,Full-size,Gas,,109200,,7127,63,,Glass,N/A,Boiler-less,22,,11,0.43,7066,0.39,,227.3,0,58,,298.8,1.7,,,,01/01/2014,09/22/2016,"United States, Canada",ES_1123347_C4eD 10.20 GS_09222016202441_5881405
2238457,Convotherm (A division of Welbilt),Convotherm,C4eD 20.20 GB,C4eD 20.20 GB,,Combination,Full-size,Gas,,218400,,10270,61,,Glass,N/A,Boiler,40,,20,0.92,11927,0.81,,391.2,3.3,49,,352.5,9.6,,,,01/01/2014,04/30/2015,"United States, Canada",ES_1123347_C4eD 20.20 GB_05012015152102_3662678
2238453,Convotherm (A division of Welbilt),Convotherm,C4eD 6.20 EB,C4eD 6.20 EB,,Combination,Full-size,Electric,15.9,,1.42,,,79,Glass,N/A,Boiler,14,,7,,,,1.85,145.2,0,,61,213.1,8.1,,,,01/01/2014,04/30/2015,"United States, Canada",ES_1123347_C4eD 6.20 EB_05012015152543_3943676
2247632,Convotherm (A division of Welbilt),Convotherm,C4eD 6.20 ES,C4eD 6.20 ES,,Combination,Full-size,Electric,15.9,,1.36,,,81,Glass,N/A,Boiler-less,14,,7,,,,1.41,139.1,0,,70,182.5,2,,,,01/01/2014,09/10/2015,"United States, Canada",ES_1123347_C4eD 6.20 ES_09102015173855_6735915
2238454,Convotherm (A division of Welbilt),Convotherm,C4eD 6.20 GB,C4eD 6.20 GB,,Combination,Full-size,Gas,,68200,,5438,62,,Glass,N/A,Boiler,14,,7,0.41,7439,0.38,,131.8,0,51,,167.4,4.3,,,,01/01/2014,04/30/2015,"United States, Canada",ES_1123347_C4eD 6.20 GB_05012015152341_3821633
2238458,Convotherm (A division of Welbilt),Convotherm,C4eT 20.20 GB,C4eT 20.20 GB,,Combination,Full-size,Gas,,218400,,10270,61,,Glass,N/A,Boiler,40,,20,0.92,11927,0.81,,391.2,3.3,49,,352.5,9.6,,,,01/01/2014,04/30/2015,"United States, Canada",ES_1123347_C4eT 20.20 GB_05012015152013_3613267
2279894,Convotherm (A division of Welbilt),Convotherm,C4eT 10.20 GS,C4eT 10.20 GS,,Combination,Full-size,Gas,,109200,,7127,63,,Glass,N/A,Boiler-less,22,,11,0.43,7066,0.39,,227.3,0,58,,298.8,1.7,,,,01/01/2014,09/22/2016,"United States, Canada",ES_1123347_C4eT 10.20 GS_09222016202502_5902391
2253465,Convotherm (A division of Welbilt),Convotherm,C4eT 10.20 ES,C4eT 10.20 ES,,Combination,Full-size,Electric,27.4,,1.68,,,83,Glass,N/A,Boiler-less,20,,10,,,,1.56,232,0.1,,76,336.5,2.7,,,,01/01/2014,11/24/2015,"United States, Canada",ES_1123347_C4eT 10.20 ES_11242015230150_6110447
2226579,Convotherm (A division of Welbilt),Convotherm,C4eT 10.10 ES,C4eT 10.10 ES,,Combination,Half-size,Electric,15.9,,1.19,,,78,Glass,N/A,Boiler-less,10,11,,,,,0.71,104.4,0,,72,101.2,0.5,,,,09/03/2013,12/05/2014,"United States, Canada",ES_1123347_C4eT 10.10 ES_12052014210010_3210152
2253463,Convotherm (A division of Welbilt),Convotherm,C4eT 6.20 GS,C4eT 6.20 GS,,Combination,Full-size,Gas,,68200,,5101,62,,Glass,N/A,Boiler-less,14,,7,0.42,5003,0.39,,140.9,0,58,,204.1,2.5,,,,01/01/2014,11/24/2015,"United States, Canada",ES_1123347_C4eT 6.20 GS_11242015224059_4859981
2238456,Convotherm (A division of Welbilt),Convotherm,C4eT 6.20 GB,C4eT 6.20 GB,,Combination,Full-size,Gas,,68200,,5438,62,,Glass,N/A,Boiler,14,,7,0.41,7439,0.38,,131.8,0,51,,167.4,4.3,,,,01/01/2014,04/30/2015,"United States, Canada",ES_1123347_C4eT 6.20 GB_05012015152137_3697204
2247633,Convotherm (A division of Welbilt),Convotherm,C4eT 6.20 ES,C4eT 6.20 ES,,Combination,Full-size,Electric,15.9,,1.36,,,81,Glass,N/A,Boiler-less,14,,7,,,,1.41,139.1,0,,70,182.5,2,,,,01/01/2014,09/10/2015,"United States, Canada",ES_1123347_C4eT 6.20 ES_09102015174318_6998291
2238455,Convotherm (A division of Welbilt),Convotherm,C4eT 6.20 EB,C4eT 6.20 EB,,Combination,Full-size,Electric,15.9,,1.42,,,79,Glass,N/A,Boiler,14,,7,,,,1.85,145.2,0,,61,213.1,8.1,,,,01/01/2014,04/30/2015,"United States, Canada",ES_1123347_C4eT 6.20 EB_05012015152443_3883825
2217175,Duke Manufacturing Co.,DUKE MANUFACTURING CO.,E101-G,E101-G,"Single Oven,613-G1V,; Single Oven,613-G1XX,; Single Oven,613Q-G1V,; Single Oven,613Q-G1XX,; Stacked Version,613-G2V,; Stacked Version,613-G2XX,; Stacked Version,613Q-G2V,; Stacked Version,613Q-G2XX,; Stacked Version,E102-G,",Convection,Full-size,Gas,,40000,,10474,55,,Glass,Glass,,,,6,0.4,,,,94.9,,,,,,,,,01/01/2014,08/04/2014,"United States, Canada",ES_1033888_E101-G_08082014164042_6042296
2217946,Garland Group (A division of Welbilt),US Range,Summit,SUMG-GS-10ESS,,Convection,Full-size,Gas,,53000,,11841,54,,Glass/Solid,Glass/Solid,,,,6,0.64,,,,113.8,0,,,,,,,,01/01/2014,08/26/2014,"United States, Canada",ES_1086332_SUMG-GS-10ESS_08262014194354_2234013
2217945,Garland Group (A division of Welbilt),Garland,Sunfire,SCO-GS-10ESS,,Convection,Full-size,Gas,,53000,,11841,54,,Solid,Glass/Solid,,,,6,0.64,,,,113.8,0,,,,,,,,01/01/2014,08/26/2014,"United States, Canada",ES_1086332_SCO-GS-10ESS_08262014194337_2217031
2204842,Garland Group (A division of Welbilt),Garland,MCO-GS-10ESS,MCO-GS-10ESS,,Convection,Full-size,Gas,,60000,,,54,,Glass,N/A,Boiler-less,,,10,0.64,,,,113.8,0,,,,,,,,09/03/2013,02/14/2014,"United States, Canada",ES_1105798_CLEVELAND RANGE L L C (540275) | MCO-GS-10ESS_02192014172738_0858814
2289616,MKN Maschinenfabrik Kurt Neubauer,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD621T,621,,Combination,Full-size,Electric,17.4,,0.89,,,85,Glass/Solid,N/A,Boiler-less,12,12,6,,,,2.04,123.59,0,,59,179.76,4.46,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_621_01262017123827_70119212
2289622,MKN Maschinenfabrik Kurt Neubauer,Henny Penny,FPE115,115,,Combination,Half-size,Electric,15.7,,1.06,,,81,Glass/Solid,N/A,Boiler-less,10,10,,,,,1.64,99.49,0,,56,137.63,3.14,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_115_01262017123852_70119212
2289623,MKN Maschinenfabrik Kurt Neubauer,Henny Penny,FPE121,121,,Combination,Full-size,Electric,27.3,,1.11,,,85,Glass/Solid,N/A,Boiler-less,20,20,10,,,,2.13,197.71,0,,68,252.67,4.58,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_121_01262017123853_70119212
2289624,MKN Maschinenfabrik Kurt Neubauer,Henny Penny,FPE215,215,,Combination,Half-size,Electric,31.6,,1.81,,,78,Glass/Solid,N/A,Boiler-less,20,20,,,,,3.24,184.68,0,,60,336.2,6.71,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_215_01262017123854_70119212
2289620,MKN Maschinenfabrik Kurt Neubauer,Henny Penny,FSE610,610,,Combination,Half-size,Electric,7.4,,0.63,,,81,Glass/Solid,N/A,Boiler-less,6,6,,,,,1.09,56,0,,62,95.9,1.94,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_610_01262017123859_70119212
2289621,MKN Maschinenfabrik Kurt Neubauer,Henny Penny,FPE615,615,,Combination,Half-size,Electric,10.2,,0.87,,,77,Glass/Solid,N/A,Boiler-less,6,6,,,,,1.3,63.7,0,,58,93.4,2.57,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_615_01262017123858_70119212
2289627,MKN Maschinenfabrik Kurt Neubauer,Henny Penny,FPE621,621,,Combination,Full-size,Electric,17.4,,0.89,,,85,Glass/Solid,N/A,Boiler-less,12,12,6,,,,2.04,123.59,0,,59,179.76,4.46,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_621_01262017123723_70119212
2289617,MKN Maschinenfabrik Kurt Neubauer,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD115T,115,,Combination,Half-size,Electric,15.7,,1.06,,,81,Glass/Solid,N/A,Boiler-less,10,10,,,,,1.64,99.49,0,,56,137.63,3.14,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_115_01262017123157_70119212
2289618,MKN Maschinenfabrik Kurt Neubauer,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD121T,121,,Combination,Full-size,Electric,27.3,,1.11,,,85,Glass/Solid,N/A,Boiler-less,20,20,10,,,,2.13,197.71,0,,68,252.67,4.58,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_121_01262017123057_70119212
2289619,MKN Maschinenfabrik Kurt Neubauer,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD215T,215,,Combination,Half-size,Electric,31.6,,1.81,,,78,Glass/Solid,N/A,Boiler-less,20,20,,,,,3.24,184.68,0,,60,336.2,6.71,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_215_01262017123807_70119212
2289614,MKN Maschinenfabrik Kurt Neubauer,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,SKECOD610T,610,,Combination,Half-size,Electric,7.4,,0.63,,,81,Glass/Solid,N/A,Boiler-less,6,6,,,,,1.09,56,0,,62,95.9,1.94,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_610_01262017123847_70119212
2289615,MKN Maschinenfabrik Kurt Neubauer,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD615T,615,,Combination,Half-size,Electric,10.2,,0.87,,,77,Glass/Solid,N/A,Boiler-less,6,6,,,,,1.3,63.7,0,,58,93.4,2.57,,,,01/01/2014,01/26/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1138805_615_01262017123837_70119212
2186734,Moffat Limited,"Moffat, Blue Seal, Grupo Alpha",Turbofan,E32D5,"Turbofan,E32T5,",Convection,Full-size,Electric,5.8,,0.95,,,81,Glass,N/A,,,,5,,,,,79.1,,,,,,,,,05/01/2013,11/05/2014,"United States, Canada",ES_1086631_E32D5_07292013092025_1002238
2186733,Moffat Limited,"Moffat, Blue Seal, Grupo Alpha",E33T5,E33T5,"E33D5,E33D5,",Convection,Half-size,Electric,6,,0.66,,,75,Glass,N/A,,1,5,1,,,,,48.1,,,,,,,,,05/01/2013,07/10/2013,"United States, Canada",ES_1086631_E33T5_07292013092025_1002237
2203921,Moffat Limited,"Moffat, Blue Seal, Grupo Alpha",G32D5,G32D5,,Convection,Full-size,Gas,,34050,,10517,52,,Glass,N/A,,,,5,0,,,,60.3,,,,,,,,,09/01/2009,02/12/2014,"United States, Canada",ES_1086631_G32D5_02122014130536_1002257
2224295,Moffat Limited,"Moffat, Blue Seal, Grupo Alpha",E32D4,E32D4,,Convection,Full-size,Electric,5.8,,0.95,,,78,Glass,N/A,,,,4,,,,,68.5,,,,,,,,,08/01/2014,11/05/2014,"United States, Canada",ES_1086631_E32D4_11052014131801_1002268
