ENERGY STAR Unique ID,ENERGY STAR Partner,Service Brand Name,Service Model Name,Service Model Number,Additional Model Information,Thermostat Brand Owner,Thermostat Brand Name,Thermostat Model Name,Thermostat Model Number,Additional Thermostat Model Numbers,Family ID,Static Temperature Accuracy (±°F),Standby Power (W),Time to Enter Standby (s),Thermostat Heating and Cooling Control Features,Other Heating and Cooling Control Features,Thermostat Communication Method,Communication Method Other,Demand Response Summary,Demand Response Product Variations,Date Available on Market,Date Certified,Markets,ENERGY STAR Model Identifier
2295128,"ecobee, Inc.",Bryant,Bryant Housewise,T6-WEM01-A,,ecobee,Bryant Housewise,BRYANT,T6-WEM01-A,,FAM_1075965_05082018172957_0597664,0.45,0.81,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,09/01/2014,04/28/2017,"United States, Canada",ES_1075965_T6-WEM01-A_04282017135732_7852734
2295129,"ecobee, Inc.",Carrier,Carrier Cor,TP-WEM01-A,,ecobee,Carrier Cor,CARRIER,TP-WEM01-A,,FAM_1075965_05082018172957_0597664,0.45,0.81,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,09/01/2014,04/28/2017,"United States, Canada",ES_1075965_TP-WEM01-A_04282017135751_7871297
2295130,"ecobee, Inc.",Ecobee,ecobee4,EB-STATE4***-##,",,ecobee4 Thermostat with Amazon Alexa Built-in; ,EB-STATE4-01,; ,EB-STATE4C-01,; ,EB-STATE4P-01,; ,EB-STATE4PB-01,; ,EB-STATE4PC-01,; ,EB-STATE4R-01,",ecobee,ecobee,ecobee4,EB-STATE4***-##,"EB-STATE4-01, EB-STATE4P-01, EB-STATE4PC-01, EB-STATE4C-01, EB-STATE4PB-01, EB-STATE4R-01",FAM_1075965_05082018180013_2414203,0.7,1.19,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,05/03/2017,04/28/2017,"United States, Canada",ES_1075965_EB-STATE4-01_04282017140445_8285851
2295064,"EcoFactor, Inc.",EcoFactor,simple S100,simple S100,,"EcoFactor, Inc.",EcoFactor,simple S100 B,simple S100 B,"simple S100 W, simple S100-01, simple S100-02",,0.51,0.55,30,External Temperature Detection,,Wi-Fi,,"EcoFactor thermostats provide market-leading capabilities in deployments nationwide. Our thermostat has participated in demand management via load dispatch, as well as time-of-use pricing response. The S100 thermostat offers a robust set of RESTful APIs to partners, allowing for straight-forward integration. Available for partner use are both a “Thermostat API Specification” and “DR API Specification,” offering server-to-server communications specific to general thermostat control, and demand response control, respectively.EcoFactor supports locational DR, allowing users to create “groups” based on segmenting features. Zip code is the primary characteristic used for segmentation, but custom groups are also possible. As an OpenADR member, EcoFactor is committed to openness and interoperability.EcoFactor reports run-time and thermostat performance at minute intervals, allowing for detailed measurement and verification of performance, including measurement of overrides. EcoFactor also records the type of HVAC equipment controlled by thermostat and continuously measures and records indoor and set point temperatures. Thermostat customers receive detailed reporting on thermostat run- time and savings versus baseline.EcoFactor is a leader in creating smart optimization, allowing for users to receive both energy efficiency– resulting in 10-15 percent annual savings on HVAC use – as well as optimized demand management, which prioritizes comfort through approaches such as pre-cooling and in-event cycling. Events can be configured by DR program managers including timing, duration, degree of cycling/offset, load shaping, and grouping. The S100 is largely compliant with 2016 CEC Title 24, Part 6 Joint Appendix 5, with the exception that the S100 does not have a physical expansion port.",,01/01/2016,04/26/2017,"United States, Canada",ES_1096966_simple S100_04252017141009_2948266
2328478,Emerson Climate Technologies,Emerson,Sensi 1F87U-42WF,Sensi 1F87U-42WF,",ST55,; ,Sensi 1F86U-42WF,",Emerson,Emerson,Sensi,1,,,0.95,0.5,7,"Time of Day Usage,Geofencing (User Device Based),Humidity Sensing",,Wi-Fi,,"Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API’s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.",,03/25/2014,10/26/2018,"United States, Canada",ES_1020720_Sensi 1F87U-42WF_10222018111012_7856256
2328479,Emerson Climate Technologies,Emerson,Sensi 1F95U-42WF,Sensi 1F95U-42WF,",ST75,; ,ST75W,; ,Sensi 1F95U-42WFB,",Emerson,Emerson,Sensi,1,,,0.5,1.2,30,"Time of Day Usage,Geofencing (User Device Based),Humidity Sensing",,Wi-Fi,,"Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API’s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.",,03/25/2014,10/26/2018,"United States, Canada",ES_1020720_Sensi 1F95U-42WF_10042018144600_7216150
2308185,Honeywell International Inc.,Honeywell,Lyric,Lyric,,Honeywell,Honeywell,T6 Pro Wi-Fi Progammable Thermostat,TH6320WF2***,,,0.86,0.34,41,"Time of Day Usage,Geofencing (User Device Based),External Temperature Detection,Additional Home Temperature Sensor",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,09/22/2016,12/21/2017,"United States, Canada",ES_1020554_TH6320WF2***_12202017141827_1065637
2318833,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,Wi-Fi Vision PRO 8000,TH8321WF****,,FAM_1020554_03282018161405_3655163,0.2,0.17,44,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Other","Humidity, dehumidify, or ventilation control",Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,01/22/2015,04/24/2018,"United States, Canada",ES_1020554_TH8321WF****_03282018162714_1318780
2318834,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,RedLINK Prestige,THX9421R****,,FAM_1020554_03282018161405_3655163,0.12,1.38,44,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Other,Additional Occupancy Sensor","Humidity, dehumidify, or ventilation control",Other,RedLINK,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,01/31/2013,04/24/2018,"United States, Canada",ES_1020554_THX9421R****_03282018163129_6408655
2318859,Honeywell International Inc.,Honeywell,TCC,TCC,,Honeywell,Honeywell,Wi-Fi Thermostat 9000,TH9320WF****,,FAM_1020554_03282018161405_3655163,0.37,0.9,43,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Humidity Sensing",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,08/16/2016,04/25/2018,"United States, Canada",ES_1020554_TH9320WF****_03282018162904_7202417
2312653,Lux Products Corporation,LUX,"GEO,GDR1","GEO,GDR1",,LUX,LUX,LUX/GEO,GEO,,,0.66,0.27,9,Geofencing (User Device Based),,Wi-Fi,,Compatible with OPEN ADR 2.0,,08/01/2015,03/13/2018,"United States, Canada",ES_29976_GEO_02202018173617_6925470
2318753,Lux Products Corporation,LUX,KONO,KONO,,LUX,LUX,KONO,KONO,,,1.95,0,0,Geofencing (User Device Based),,Wi-Fi,,Compatible with OPEN ADR 2.0,,08/01/2017,04/23/2018,"United States, Canada",ES_29976_KONO_04172018163511_404474
2318755,Lux Products Corporation,LUX,GEOx,GEOx,,LUX,LUX,GEOx,GEOx,,,1.39,0.18,10,Geofencing (User Device Based),,Wi-Fi,,Compatible with OPEN ADR 2.0,,07/05/2016,04/23/2018,"United States, Canada",ES_29976_GEOx_04172018163942_2032129
2291409,Nest Labs,Nest,Nest Learning Thermostat,T3###**,"Nest Learning Thermostat,T3007EF,; Nest Learning Thermostat,T3007ES,; Nest Learning Thermostat,T3016US,; Nest Learning Thermostat,T3017US,; Nest Learning Thermostat,T3021US,",Nest,Nest,Nest Learning Thermostat,T3###**,,FAM_1130302_03162017134321_1802833,0.27,0.06,50,"Time of Day Usage,Geofencing (User Device Based),Occupancy Sensor on Device,External Temperature Detection,Humidity Sensing",,Wi-Fi,,"The Nest Learning Thermostat supports a variety of DR services, including dispatchable peak load management, price response, seasonal demand reduction, and emergency (fast-response) dispatch. Nest offers a comprehensive DR solution in which Nest’s cloud-based server acts as an OpenADR-compliant Virtual End Node for a DR signal from a Load Management Entity, and upon receipt of that signal executes customized DR algorithms on each participating device (as a Virtual Top Node). Devices can be grouped at the discretion of the Load Management Entity for locational dispatch. An API is available for direct integration with popular Demand Response Management Systems for dispatch. Comprehensive aggregated reporting is provided to the Load Management Entity for M&V purposes, including load reduction estimates and the impact of device adjustments by interval.
 
Nest’s DR solutions are specifically designed to optimize participant satisfaction through the use of pre-conditioning (where applicable) and personalized schedule adjustments to ensure occupant comfort by limiting deviations from scheduled setpoints. The algorithms are regularly updated and enhanced based on operational experience and user feedback.
 
Nest’s DR solutions are compatible with the 2016 California Energy Commission Title 24, Part 6 Joint Appendix 5.""
the thermostat is Title 24, 2016, Part 6 JA5 compliant as registered with the state of California, in addition to being DR compatible, etc.,",,09/01/2015,02/24/2017,"United States, Canada",ES_1130302_T3###**_02242017180823_9703663
2296653,Nest Labs,Nest,Nest Thermostat E,T4###**,,Nest,Nest,Nest Thermostat E,T4###**,"T4000ES, T4001ES, T4000EF",,0.46,0.04,20,"Time of Day Usage,Geofencing (User Device Based),Occupancy Sensor on Device,External Temperature Detection,Humidity Sensing",,Wi-Fi,,"The Nest Learning Thermostat supports a variety of DR services, including dispatchable peak load management, price response, seasonal demand reduction, and emergency (fast-response) dispatch. Nest offers a comprehensive DR solution in which Nest’s cloud-based server acts as an OpenADR-compliant “Virtual End Node” for a DR signal from a Load Management Entity, and upon receipt of that signal executes customized DR algorithms on each participating device (as a “Virtual Top Node”). Devices can be grouped at the discretion of the Load Management Entity for locational dispatch. An API is available for direct integration with popular Demand Response Management Systems for dispatch. Comprehensive aggregated reporting is provided to the Load Management Entity for M&V purposes, including load reduction estimates and the impact of device adjustments by interval.
 
Nest’s DR solutions are specifically designed to optimize participant satisfaction through the use of pre-conditioning (where applicable) and personalized schedule adjustments to ensure occupant comfort by limiting deviations from scheduled setpoints. The algorithms are regularly updated and enhanced based on operational experience and user feedback.
 
Nest’s DR solutions are compatible with the 2016 California Energy Commission Title 24, Part 6 Joint Appendix 5.  The thermostat is Title 24, 2016, Part 6 JA5 compliant as registered with the state of California, in addition to being DR compatible, etc., in case this helps to answer another question I think I saw on the spreadsheet sent over earlier.",,08/31/2017,05/26/2017,"United States, Canada",ES_1130302_T4000ES_05262017120727_0447425
2333888,"Resideo Technologies, Inc",Honeywell Home,Lyric,Lyric,,Resideo Technologies Inc.,Honeywell Home,T9 Smart Thermostat,RCHT9*10WF****,"RCHT9610WFSW2003, RCHT9610WFSW2019, RCHT9510WFW2001, RCHT9510WFW2017",FAM_1142622_01042019143341_2373577,0.35,1.65,45,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Other,Additional Occupancy Sensor",,"Wi-Fi,Other",,"Honeywell Homeâ€™s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service. Honeywell Homeâ€™s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a homeâ€™s thermodynamic properties, resulting in additional energy savings. Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods. Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.). Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an eventâ€™s opt-outs, overrides and load shed performance are available through API to the Load
Managing Entity.",,01/17/2019,02/22/2019,"United States, Canada",ES_1142622_Lyric_01042019143341_6844446
2333898,"Resideo Technologies, Inc",Honeywell Home,Lyric,Lyric,,Resideo Technologies Inc.,Honeywell Home,T10 Pro Smart Thermostat,THX***WF******,"THX321WF2001W, THX321WFS2001W",FAM_1142622_01042019143341_2373577,0.35,1.65,45,"Time of Day Usage,External Temperature Detection,Additional Home Temperature Sensor,Other,Additional Occupancy Sensor","Humidify, Dehumidify, Ventilation Control","Wi-Fi,Other",Redlink,"Honeywell Homeâ€™s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service. Honeywell Homeâ€™s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a homeâ€™s thermodynamic properties, resulting in additional energy savings. Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods. Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.). Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an eventâ€™s opt-outs, overrides and load shed performance are available through API to the Load
Managing Entity.",,01/17/2019,02/22/2019,"United States, Canada",ES_1142622_Lyric_02072019151824_2889673
2328690,Venstar Inc.,Venstar,Explorer,T2000,",,Family Model Differences: Commerical vs. Residental and Humdity control vs. No humidity Control and differences in number of buttons, number of control outputs, and minor differences in features.; Explorer,T2050,; Explorer,T3700,; Explorer,T3800,; Explorer,T3900,; Explorer,T4800,; Explorer,T4900,",Venstar,Venstar,Explorer Mini,T2000,"T2050, T3700, T3900, T4800, T4900",FAM_1048765_02042019195535_0136140,1.38,0.62,0,Time of Day Usage,,Wi-Fi,,"Venstar through our Skyport Cloud Services provides OpenADR compliance for all of the Venstar communicating thermostats with WiFi. These OpenADR compliant products provide solutions for both the Residential and Commercial markets.
Skyport Cloud Services OpenADR VEN is a certified DR solution that allows utilities or verified energy partners to push DR signals that include load shedding, price notifications, and price actions to Skyport Cloud connected Venstar thermostats. Skyport Cloud Services allow the utilities or verified energy partners to group thermostats into logical groups and regions to send directed DR events. Skyport Cloud users have the ability to adjust the Maximum Cooling Setpoint, Minimum Heating Setpoints, Offset Settings and Price Trigger settings for DR events. Once a DR event is completed, Skyport Cloud Services, with detailed reporting capability, generates a report signal back to the load management entity for the success rate of the DR event.
Venstar communicating thermostats are Title 24 compliant.",,05/09/2015,10/31/2018,"United States, Canada",ES_1048765_T2000_10312018151136_8696123
2328691,Venstar Inc.,Venstar,Color Touch,T7900,",,Family Model Differences: Commerical vs. Residental and Humdity control vs. no humidity Control; Color Touch,T7850,; Color Touch,T8850,; Color Touch,T8900,",Venstar,Venstar,Color Touch,T7900,"T7850, T8900, T8850",FAM_1048765_02042019200020_0420452,1.95,0.14,0,"Time of Day Usage,Humidity Sensing",,Wi-Fi,,"Venstar through our Skyport Cloud Services provides OpenADR compliance for all of the Venstar communicating thermostats with WiFi. These OpenADR compliant products provide solutions for both the Residential and Commercial markets.
Skyport Cloud Services OpenADR VEN is a certified DR solution that allows utilities or verified energy partners to push DR signals that include load shedding, price notifications, and price actions to Skyport Cloud connected Venstar thermostats. Skyport Cloud Services allow the utilities or verified energy partners to group thermostats into logical groups and regions to send directed DR events. Skyport Cloud users have the ability to adjust the Maximum Cooling Setpoint, Minimum Heating Setpoints, Offset Settings and Price Trigger settings for DR events. Once a DR event is completed, Skyport Cloud Services, with detailed reporting capability, generates a report signal back to the load management entity for the success rate of the DR event.
Venstar communicating thermostats are Title 24 compliant.",,11/21/2014,10/31/2018,"United States, Canada",ES_1048765_T7900_10312018151613_8973651
